                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 1.1589,                0.82168,                 1.1523,                0.56516,                0.50695,                0.49993,                 0.3037,                 1.6461,                  1.247,                 1.3343,                0.00109,                0.00109,                0.00109
                     92,                 1.1393,                  0.792,                 1.1457,                0.56482,                0.50726,                0.49939,                0.30381,                 1.6466,                 1.2441,                 1.3354,               0.000991,               0.000991,               0.000991
                     93,                 1.1386,                0.78991,                 1.1423,                 0.5623,                0.50695,                0.49938,                0.30353,                 1.6465,                 1.2423,                 1.3363,               0.000892,               0.000892,               0.000892
                     94,                 1.1193,                0.78282,                 1.1276,                0.56323,                0.50749,                0.50109,                0.30363,                 1.6469,                 1.2386,                 1.3375,               0.000793,               0.000793,               0.000793
                     95,                 1.1246,                0.78363,                 1.1299,                0.56261,                0.50618,                0.50043,                 0.3035,                  1.648,                 1.2364,                 1.3384,               0.000694,               0.000694,               0.000694
                     96,                  1.116,                 0.7719,                 1.1269,                 0.5612,                0.50672,                0.50074,                0.30365,                 1.6495,                 1.2339,                 1.3392,               0.000595,               0.000595,               0.000595
                     97,                 1.1149,                0.77217,                 1.1253,                0.56007,                0.50645,                0.50096,                0.30406,                 1.6493,                 1.2308,                 1.3399,               0.000496,               0.000496,               0.000496
                     98,                 1.1006,                0.76539,                 1.1217,                0.56252,                0.50776,                0.50141,                0.30415,                 1.6495,                 1.2284,                 1.3403,               0.000397,               0.000397,               0.000397
                     99,                 1.0989,                0.76124,                 1.1207,                0.56278,                0.51072,                0.50244,                0.30464,                 1.6503,                 1.2271,                 1.3407,               0.000298,               0.000298,               0.000298
                    100,                  1.091,                0.75427,                 1.1123,                0.56394,                0.51001,                0.50182,                0.30436,                 1.6509,                 1.2254,                  1.341,               0.000199,               0.000199,               0.000199
